Image_Layer,Total Flux_p/s,Avg Radiance_p/s/cmsq/sr,Stdev_Radiance,Min_Radiance,Max_Radiance,ROI_Label,Comment1,Comment2,Mouse_ID,Organ,Expt,Infection_1,Infection_2,time_point_from_reinf,mouse_sex,bkrd,flux_minus_bkrd
Overlay,3.29E+04,1.41E+03,1.96E+03,-2.16E+02,9.25E+03,M18 Gut,M18 M19+M20,ex vivo 5 min,M18,Gut,3,none,luc,NA,Female,,
Overlay,3.29E+04,2.51E+02,3.38E+02,-4.01E+02,5.80E+03,M20 BM,M18 M19+M20,ex vivo 5 min,M20,BM,3,none,luc,NA,Female,,
Overlay,1.04E+06,8.84E+03,2.63E+04,-3.47E+02,3.17E+05,M19 BM,M18 M19+M20,ex vivo 5 min,M19,BM,3,none,luc,NA,Female,,
Overlay,1.99E+05,5.24E+03,7.45E+03,-2.30E+02,2.81E+04,M19 Gut,M18 M19+M20,ex vivo 5 min,M19,Gut,3,none,luc,NA,Female,,
Overlay,1.47E+04,3.94E+02,7.41E+02,-2.42E+02,7.34E+03,M20 Gut,M18 M19+M20,ex vivo 5 min,M20,Gut,3,none,luc,NA,Female,,
Overlay,1.85E+07,1.52E+05,2.18E+05,-1.82E+03,1.17E+06,C84_NN_liver,,,C84_NN,Liver,1,luc,barcodes,d14,Male,,
Overlay,2.52E+06,7.38E+04,2.55E+05,8.84E+01,2.19E+06,C84_NN_LN,,,C84_NN,LN,1,luc,barcodes,d14,Male,,
Overlay,1.37E+08,9.46E+05,9.06E+05,8.60E+02,3.33E+06,C84_RL_liver,,,C84_RL,Liver,1,luc,barcodes,d14,Male,,
Overlay,6.62E+05,2.06E+04,6.70E+04,-1.04E+02,5.16E+05,C84_RL_LN,,,C84_RL,LN,1,luc,barcodes,d14,Male,,
Overlay,3.15E+07,1.73E+05,2.44E+05,-1.54E+03,1.31E+06,C84_R_liver,,,C84_RL,Liver,1,luc,barcodes,d14,Male,,
Overlay,5.60E+07,3.31E+05,5.06E+05,-1.23E+03,2.37E+06,C84_L_liver,,,C84_L,Liver,1,luc,barcodes,d14,Male,,
Overlay,1.94E+07,2.67E+05,5.27E+05,-1.01E+03,2.41E+06,C84_NN_spleen,,,C84_NN,Spleen,1,luc,barcodes,d14,Male,,
Overlay,5.24E+07,5.48E+05,1.01E+06,-6.02E+02,4.89E+06,C84_L_spleen,,,C84_L,Spleen,1,luc,barcodes,d14,Male,,
Overlay,1.44E+07,2.24E+05,3.21E+05,-4.64E+02,1.56E+06,C84_R_spleen,,,C84_R,Spleen,1,luc,barcodes,d14,Male,,
Overlay,6.04E+05,1.59E+04,5.47E+04,-3.48E+02,3.92E+05,C84_R_LN,,,C84_LN,LN,1,luc,barcodes,d14,Male,,
Overlay,2.60E+05,9.72E+03,4.05E+04,-4.30E+02,3.11E+05,C84_L_LN,,,C84_LN,LN,1,luc,barcodes,d14,Male,,
Overlay,5.59E+05,8.85E+03,2.85E+04,-1.95E+02,3.41E+05,C84_NN_BM1,,,C84_NN,BM,1,luc,barcodes,d14,Male,,
Overlay,6.13E+04,1.83E+03,3.62E+03,-2.94E+02,2.38E+04,C84_NN_BM2,,,C84_NN,BM,1,luc,barcodes,d14,Male,,
Overlay,3.21E+05,3.96E+03,1.29E+04,-4.18E+02,1.02E+05,C84_R_BM1,,,C84_R,BM,1,luc,barcodes,d14,Male,,
Overlay,2.40E+05,4.78E+03,1.24E+04,-4.00E+02,9.87E+04,C84_R_BM2,,,C84_R,BM,1,luc,barcodes,d14,Male,,
Overlay,1.72E+05,5.14E+03,7.91E+03,-1.79E+02,5.86E+04,C84_L_BM1,,,C84_L,BM,1,luc,barcodes,d14,Male,,
Overlay,4.44E+05,5.90E+03,1.46E+04,-2.02E+02,1.45E+05,C84_L_BM2,,,C84_L,BM,1,luc,barcodes,d14,Male,,
Overlay,1.55E+05,2.29E+03,4.25E+03,-2.35E+02,2.88E+04,C84_NN_LUNG,,,C84_NN,Lung,1,luc,barcodes,d14,Male,,
Overlay,2.56E+05,4.21E+03,1.04E+04,-2.82E+02,9.04E+04,C84_R_LUNG,,,C84_R,Lung,1,luc,barcodes,d14,Male,,
Overlay,2.25E+05,5.54E+03,1.01E+04,-1.88E+04,8.26E+04,C84_L_LUNG,,,C84_L,Lung,1,luc,barcodes,d14,Male,,
Overlay,2.82E+07,2.20E+05,2.02E+05,-1.00E+03,8.65E+05,C84_RR_liver,,,C84_RR,Liver,1,luc,barcodes,d14,Male,,
Overlay,1.51E+07,2.10E+05,4.32E+05,-9.10E+02,2.47E+06,C84_RR_spleen,,,C84_RR,Spleen,1,luc,barcodes,d14,Male,,
Overlay,5.50E+07,6.86E+05,1.23E+06,1.55E+02,5.33E+06,C84_RL_spleen,,,C84_RL,Spleen,1,luc,barcodes,d14,Male,,
Overlay,2.12E+04,2.94E+02,6.17E+02,-1.82E+03,2.21E+03,C85_con_spleen,,,C85_con,Spleen,Con,NA,NA,NA,Male,,
Overlay,1.55E+05,1.18E+03,1.74E+03,-2.01E+03,1.22E+04,C85_con_liver,,,C85_con,Liver,Con,NA,NA,NA,Male,,
Overlay,3.67E+04,1.14E+03,1.77E+03,-1.23E+02,1.17E+04,C84_RR_LN,,,C84_RR,LN,1,luc,barcodes,d14,Male,,
Overlay,1.05E+04,2.04E+02,1.78E+02,-3.05E+02,9.28E+02,C85_con_LUNG,,,C85_con,Lung,Con,NA,NA,NA,Male,,
Overlay,4.83E+05,6.44E+03,1.62E+04,-3.97E+02,1.15E+05,C84_RL_LUNG,,,C84_RL,Lung,1,luc,barcodes,d14,Male,,
Overlay,1.55E+05,2.32E+03,9.44E+03,-4.03E+02,1.15E+05,C84_RL_BM1,,,C84_RL,BM,1,luc,barcodes,d14,Male,,
Overlay,9.10E+05,2.18E+04,4.54E+04,-2.28E+02,3.08E+05,C84_RL_BM2,,,C84_RL,BM,1,luc,barcodes,d14,Male,,
Overlay,1.03E+05,2.80E+03,4.69E+03,-7.03E+01,2.68E+04,C84_RL_GUT,,,C84_RL,Gut,1,luc,barcodes,d14,Male,,
Overlay,6.42E+04,1.92E+03,2.81E+03,-2.62E+02,1.47E+04,C84_NN_GUT,,,C84_NN,Gut,1,luc,barcodes,d14,Male,,
Overlay,3.20E+05,6.85E+03,2.27E+04,-3.31E+02,2.36E+05,C84_R_GUT,,,C84_R,Gut,1,luc,barcodes,d14,Male,,
Overlay,5.80E+04,1.03E+03,1.81E+03,-4.51E+02,1.11E+04,C84_L_GUT,,,C84_L,Gut,1,luc,barcodes,d14,Male,,
Overlay,1.08E+04,1.76E+02,8.98E+02,-1.96E+04,8.90E+02,C85_con_GUT,,,C85_con,Gut,Con,NA,NA,NA,Male,,
Overlay,9.75E+03,2.19E+02,2.07E+02,-2.35E+02,1.17E+03,C85_con_BM1,,,C85_con,BM,Con,NA,NA,NA,Male,,
Overlay,6.54E+03,2.30E+02,1.60E+02,-2.75E+02,7.98E+02,C85_con_BM2,,,C85_con,BM,Con,NA,NA,NA,Male,,
Overlay,4.15E+03,1.38E+02,2.28E+02,-7.92E+02,1.09E+03,C85_con_LN,,,C85_con,LN,Con,NA,NA,NA,Male,,
Overlay,2.67E+05,6.01E+03,1.03E+04,-1.86E+02,6.47E+04,C84_RR_LUNG,,,C84_RR,Lung,1,luc,barcodes,d14,Male,,
Overlay,4.49E+05,1.14E+04,2.45E+04,-2.96E+02,1.64E+05,C84_RR_BM1,,,C84_RR,BM,1,luc,barcodes,d14,Male,,
Overlay,3.36E+05,5.87E+03,1.69E+04,-2.19E+02,1.42E+05,C84_RR_BM2,,,C84_RR,BM,1,luc,barcodes,d14,Male,,
Overlay,2.45E+04,6.27E+02,1.07E+03,-2.62E+02,8.17E+03,C84_RR_GUT,,,C84_RR,Gut,1,luc,barcodes,d14,Male,,
Overlay,3.38E+07,2.55E+05,3.02E+05,-3.18E+03,1.28E+06,C88_R_liver,,,C88_R,Liver,1,luc,barcodes,d14,Female,,
Overlay,1.09E+06,5.82E+04,1.31E+05,-4.26E+01,6.53E+05,C88_R_LN,,,C88_R,LN,1,luc,barcodes,d14,Female,,
Overlay,1.46E+07,1.10E+05,1.41E+05,-1.90E+03,6.23E+05,C88_RR_liver,,,C88_RR,Liver,1,luc,barcodes,d14,Female,,
Overlay,4.11E+05,4.06E+04,6.42E+04,8.78E+01,2.81E+05,C88_RR_LN,,,C88_RR,LN,1,luc,barcodes,d14,Female,,
Overlay,9.77E+07,7.82E+05,7.49E+05,-9.26E+02,3.83E+06,C88_L_liver,,,C88_L,Liver,1,luc,barcodes,d14,Female,,
Overlay,1.28E+07,9.67E+04,1.07E+05,-3.45E+03,4.42E+05,C88_RL_liver,,,C88_RL,Liver,1,luc,barcodes,d14,Female,,
Overlay,2.49E+07,2.99E+05,4.99E+05,-3.87E+03,2.00E+06,C88_R_spleen,,,C88_R,Spleen,1,luc,barcodes,d14,Female,,
Overlay,7.82E+07,1.25E+06,1.40E+06,6.38E+02,5.71E+06,C88_L_spleen,,,C88_L,Spleen,1,luc,barcodes,d14,Female,,
Overlay,2.90E+07,3.70E+05,5.27E+05,-9.04E+02,1.72E+06,C88_RL_spleen,,,C88_RL,Spleen,1,luc,barcodes,d14,Female,,
Overlay,2.96E+05,1.02E+04,3.54E+04,-2.30E+02,2.78E+05,C88_L_LN,,,C88_L,LN,1,luc,barcodes,d14,Female,,
Overlay,1.29E+05,2.39E+03,5.90E+03,-3.06E+02,4.72E+04,C88_RL_BM1,,,C88_RL,BM,1,luc,barcodes,d14,Female,,
Overlay,2.21E+05,6.47E+03,1.26E+04,-1.34E+02,7.51E+04,C88_R_LUNG,,,C88_R,Lung,1,luc,barcodes,d14,Female,,
Overlay,1.37E+04,3.42E+02,4.51E+02,-2.79E+02,3.27E+03,C88_R_GUT,,,C88_R,Gut,1,luc,barcodes,d14,Female,,
Overlay,1.93E+05,4.71E+03,9.45E+03,-2.49E+02,5.43E+04,C88_R_BM1,,,C88-R,BM,1,luc,barcodes,d14,Female,,
Overlay,1.21E+05,3.14E+03,8.61E+03,-3.85E+02,6.95E+04,C88_R_BM2,,,C88_R,BM,1,luc,barcodes,d14,Female,,
Overlay,9.60E+04,1.96E+03,4.28E+03,-3.40E+02,3.68E+04,C88_RL_LUNG,,,C88_RL,Lung,1,luc,barcodes,d14,Female,,
Overlay,1.52E+04,3.21E+02,4.59E+02,-4.65E+02,2.69E+03,C88_RL_GUT,,,C88_RL,Gut,1,luc,barcodes,d14,Female,,
Overlay,1.66E+06,8.84E+04,2.77E+05,9.46E+01,2.06E+06,C88_RL_LN,,,C88_RL,LN,1,luc,barcodes,d14,Female,,
Overlay,6.08E+04,2.10E+03,3.17E+03,-1.41E+02,1.98E+04,C88_RL_BM2,,,C88_RL,BM,1,luc,barcodes,d14,Female,,
Overlay,1.70E+06,3.47E+04,1.02E+05,-7.35E+01,8.84E+05,C88_L_LUNG,,,C88_L,Lung,1,luc,barcodes,d14,Female,,
Overlay,2.68E+05,6.16E+03,2.82E+04,-2.74E+02,3.24E+05,C88_L_BM1,,,C88_L,BM,1,luc,barcodes,d14,Female,,
Overlay,4.06E+05,1.00E+04,3.39E+04,-2.66E+02,3.24E+05,C88_L_BM2,,,C88_L,BM,1,luc,barcodes,d14,Female,,
Overlay,3.10E+04,1.07E+03,1.53E+03,-2.71E+02,8.68E+03,C88_L_GUT,,,C88_L,Gut,1,luc,barcodes,d14,Female,,
