,INPUT_POOL,OUTPUT_POOL,mouse_ID,FP_100_percent,FP_90_1,FP_90_4,FP_90_3,FP_90_5,FP_90_2,FP_50_1,FP_50_5,FP_50_4,FP_50_3,FP_50_2,FP_75_5,FP_75_1,FP_75_3,FP_75_4,FP_75_2
967,INPUT_SKIN1_90_5.txt,OUTPUT_LUNG_90_5.txt,3,7.814655501,7.804224565,7.804210717,7.80423764,7.804207545,7.804214348,6.894574687,6.894575393,6.894590275,6.894596184,6.894620874,7.565110491,7.565162068,7.565134329,7.565147119,7.565109531
968,INPUT_SKIN1_90_5.txt,OUTPUT_S_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
969,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN1_90_5.txt,3,-488125.5,-439316,-439317.5,-439316,-439317,-439318,-244208,-244208,-244207.5,-244207.5,-244206.5,-365796,-365794,-365795.5,-365794.5,-365796
970,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN10_90_5.txt,3,0.040013481,0.040902544,0.040902404,0.040902544,0.04090245,0.040902357,0.030788964,0.030788964,0.030789027,0.030789027,0.030789153,0.039206508,0.039206723,0.039206562,0.039206669,0.039206508
971,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN11_90_5.txt,3,0.029176565,0.032282019,0.03227593,0.032275952,0.03227201,0.032278091,0.017113998,0.017113998,0.017114034,0.017114034,0.017114104,0.012585119,0.012585435,0.012585301,0.012584841,0.012585407
972,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN12_90_5.txt,3,0.098747861,0.109549221,0.109563856,0.109605848,0.109588176,0.10956353,0.318505673,0.318505673,0.318505159,0.318508669,0.31851115,0.079177305,0.079173582,0.079175712,0.079181786,0.079177493
973,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN2_90_5.txt,3,0.722366282,0.743018657,0.74242098,0.742871673,0.742417453,0.743067656,0.768411605,0.768577815,0.768687222,0.768484718,0.768832469,0.76477096,0.764889864,0.764750343,0.765162927,0.764991298
974,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN3_90_5.txt,3,0.092851754,0.102869537,0.102878091,0.102925377,0.102886087,0.102892704,0.055882575,0.055882575,0.055882689,0.055882689,0.055882918,0.072065079,0.072053061,0.0720392,0.072040263,0.072053244
975,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN4_90_5.txt,3,0.281001272,0.298329939,0.298335702,0.298304778,0.298263863,0.298258802,0.228759338,0.228789738,0.228785137,0.228781055,0.228782792,0.27717242,0.27713567,0.277138032,0.277131531,0.277073382
976,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN5_90_5.txt,3,0.2890801,0.287250492,0.287231685,0.287269375,0.287195417,0.287159541,0.610542962,0.610542962,0.610544221,0.610544221,0.610546739,0.31596412,0.315965854,0.315964553,0.31596542,0.31596412
977,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN6_90_5.txt,3,0.196580871,0.188084607,0.188105451,0.188131836,0.188107599,0.18811175,0.226169465,0.226162676,0.226154782,0.226142003,0.226162289,0.188015159,0.188011243,0.188031918,0.18803095,0.188001311
978,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN7_90_5.txt,3,0.09875908,0.071770267,0.071770033,0.071770264,0.071769962,0.071769806,0.148951677,0.148963561,0.148956176,0.148963865,0.148963774,0.075401199,0.075401656,0.075401301,0.075401322,0.075401644
979,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN8_90_5.txt,3,0.055092662,0.057539407,0.057529647,0.057464281,0.057474738,0.05747517,0.065659127,0.065586502,0.065575424,0.065652811,0.065656165,0.052375088,0.052310547,0.052364559,0.052370801,0.052367459
980,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN9_90_5.txt,3,0.01523034,0.016714371,0.016714315,0.016714371,0.016714334,0.016714296,0.016693516,0.016693516,0.01669355,0.01669355,0.016693618,0.011679658,0.011679721,0.011679674,0.011679706,0.011679658
