,INPUT_POOL,OUTPUT_POOL,FP_5,mouse_ID,FP_1,FP_4,FP_3,FP_2,FP
1379,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN8_90_5.txt,0.957544181,5,0.957478038,0.957663369,0.957548654,0.957668024,1.097745983
1380,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN9_90_5.txt,0.863190277,5,0.863164662,0.862631566,0.863325678,0.863463795,0.864278212
1381,INPUT_SKIN10_90_5.txt,OUTPUT_BM1_90_5.txt,2.14600853,5,2.145920025,2.145662149,2.145251357,2.144320556,2.102551672
1382,INPUT_SKIN10_90_5.txt,OUTPUT_BM2_90_5.txt,2.141946863,5,2.142692604,2.141817689,2.140737696,2.142145006,2.229744784
1383,INPUT_SKIN10_90_5.txt,OUTPUT_GUT_90_5.txt,NA,5,NA,NA,NA,NA,NA
1384,INPUT_SKIN10_90_5.txt,OUTPUT_L_90_5.txt,4.469071563,5,4.47019333,4.469576326,4.469128621,4.47011145,4.595831479
1385,INPUT_SKIN10_90_5.txt,OUTPUT_LN1_90_5.txt,16.5345481,5,16.53374751,16.53921681,16.54107669,16.5375762,17.63024971
1386,INPUT_SKIN10_90_5.txt,OUTPUT_LN2_90_5.txt,0.263144093,5,0.263197585,0.263171568,0.262971847,0.263076621,0.247177837
1387,INPUT_SKIN10_90_5.txt,OUTPUT_LUNG_90_5.txt,0.915707184,5,0.915717059,0.916013011,0.91567352,0.916569666,0.86213404
1388,INPUT_SKIN10_90_5.txt,OUTPUT_S_90_5.txt,2.833568446,5,2.832693098,2.832382293,2.833409496,2.832510437,2.992300572
1389,INPUT_SKIN10_90_5.txt,OUTPUT_SKIN1_90_5.txt,0.028393905,5,0.028393087,0.028387073,0.028389273,0.0283874,0.01995982
1390,INPUT_SKIN10_90_5.txt,OUTPUT_SKIN10_90_5.txt,-548498,5,-548527,-548577,-548557,-548594.5,-609625
1391,INPUT_SKIN10_90_5.txt,OUTPUT_SKIN11_90_5.txt,0.971609163,5,0.971603774,0.971389887,0.971245298,0.971271195,1.021524455
1392,INPUT_SKIN10_90_5.txt,OUTPUT_SKIN12_90_5.txt,0.281402014,5,0.281410467,0.281092762,0.281212702,0.281112752,0.229921265
1393,INPUT_SKIN10_90_5.txt,OUTPUT_SKIN2_90_5.txt,0.242653584,5,0.242836311,0.242676446,0.242813469,0.242736406,0.248618534
1394,INPUT_SKIN10_90_5.txt,OUTPUT_SKIN3_90_5.txt,0.070263725,5,0.070267299,0.070251585,0.070256166,0.070259429,0.080980349
1395,INPUT_SKIN10_90_5.txt,OUTPUT_SKIN4_90_5.txt,0.1360576,5,0.136075703,0.136065786,0.136031719,0.13602284,0.119786831
1396,INPUT_SKIN10_90_5.txt,OUTPUT_SKIN5_90_5.txt,0.149270193,5,0.149262304,0.149248698,0.14925415,0.14924394,0.153140324
1397,INPUT_SKIN10_90_5.txt,OUTPUT_SKIN6_90_5.txt,0.191419475,5,0.191369529,0.191374454,0.191403588,0.191344877,0.166503765
