True_FP,Est_FP,Total_parasites,Barcode_number,Bottleneck_prob
4,4.181818182,49999950,70,0.0000001
5,5.307692308,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
6,6.46875,49999950,70,0.0000001
2,2.029411765,49999950,70,0.0000001
2,2.029411765,49999950,70,0.0000001
1,1,49999950,70,0.0000001
6,6.46875,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
7,7.666666667,49999950,70,0.0000001
7,7.666666667,49999950,70,0.0000001
8,8.903225806,49999950,70,0.0000001
4,2.732673267,49999950,70,0.0000001
3,3.089552239,49999950,70,0.0000001
8,8.903225806,49999950,70,0.0000001
5,5.307692308,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
5,5.307692308,49999950,70,0.0000001
5,5.307692308,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
9,8.111756168,49999950,70,0.0000001
8,8.903225806,49999950,70,0.0000001
7,5.819277108,49999950,70,0.0000001
3,3.089552239,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
5,5.307692308,49999950,70,0.0000001
3,3.089552239,49999950,70,0.0000001
2,2.029411765,49999950,70,0.0000001
6,6.46875,49999950,70,0.0000001
6,4.740458015,49999950,70,0.0000001
6,6.46875,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
11,10.58174905,49999950,70,0.0000001
3,3.089552239,49999950,70,0.0000001
7,7.666666667,49999950,70,0.0000001
6,6.46875,49999950,70,0.0000001
11,10.58174905,49999950,70,0.0000001
1,1,49999950,70,0.0000001
7,7.666666667,49999950,70,0.0000001
3,3.089552239,49999950,70,0.0000001
1,1,49999950,70,0.0000001
5,5.307692308,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
2,1,49999950,70,0.0000001
6,6.46875,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
7,7.666666667,49999950,70,0.0000001
3,3.089552239,49999950,70,0.0000001
9,10.18032787,49999950,70,0.0000001
4,4.125,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
2,2.020408163,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
0,,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
3,3.06185567,50000000,100,0.0000001
0,,50000000,100,0.0000001
6,6.319148936,50000000,100,0.0000001
6,6.319148936,50000000,100,0.0000001
6,4.664921466,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
2,2.020408163,50000000,100,0.0000001
3,3.06185567,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
3,3.06185567,50000000,100,0.0000001
9,9.791208791,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
10,11,50000000,100,0.0000001
9,9.791208791,50000000,100,0.0000001
7,7.451612903,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
2,2.020408163,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
3,1.814663951,50000000,100,0.0000001
3,3.06185567,50000000,100,0.0000001
7,7.451612903,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
3,3.06185567,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
4,2.712328767,50000000,100,0.0000001
7,7.451612903,50000000,100,0.0000001
6,6.319148936,50000000,100,0.0000001
2,2.020408163,50000000,100,0.0000001
11,10.16030534,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
6,6.319148936,50000000,100,0.0000001
7,5.700352526,50000000,100,0.0000001
3,3.06185567,50000000,100,0.0000001
8,8.608695652,50000000,100,0.0000001
9,9.791208791,50000000,100,0.0000001
5,2.302325581,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
3,3.06185567,50000000,100,0.0000001
6,6.319148936,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
8,5.577464789,50000000,100,0.0000001
8,8.608695652,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
8,8.608695652,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
7,5.700352526,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
6,6.319148936,50000000,100,0.0000001
6,6.319148936,50000000,100,0.0000001
2,2.020408163,50000000,100,0.0000001
3,3.06185567,50000000,100,0.0000001
5,5.210526316,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
10,7.615384615,50000000,100,0.0000001
4,4.125,50000000,100,0.0000001
